,size,depth,SABRE CNOTs,SABRE Depth,SABRE Time,MPATH_IPS CNOTs,MPATH_IPS Depth,MPATH_IPS Time,MPATH_BSP CNOTs,MPATH_BSP Depth,MPATH_BSP Time,"Layer Density, mean","Layer Density, std.","Child Distance, mean","Child Distance, std."
4_49_16.qasm,217,125,165,303,0.09595689699999976,129,250,1.1917390660000002,165,289,8.753291055999998,0.792,0.4947079946796899,2.984126984126984,3.5027973560011096
alu-v2_31.qasm,451,255,330,592,0.17821622700000006,267,418,3.3344470259999994,306,567,28.535412715,0.7764705882352941,0.4861163563181619,3.0706806282722514,3.131954721007552
mod10_176.qasm,178,101,129,245,0.06947922399999129,99,181,1.0724065020000069,108,218,7.418371802999999,0.7722772277227723,0.5050475542517564,3.061224489795918,3.20973114307551
C17_204.qasm,467,253,342,596,0.1869555709999986,309,511,4.8964369700000105,333,584,14.662753152000008,0.8102766798418972,0.5584184351762643,4.060913705583756,6.48045442237441
0410184_169.qasm,211,104,159,238,0.11111955499998771,144,171,2.0972482370000023,147,227,6.642801898000002,1.0,0.6793662204867574,6.453551912568306,13.828250799388995
rd53_311.qasm,275,124,237,352,0.13403637999999773,189,248,10.058688324999991,231,315,17.270235586999988,1.0,0.6350006350009525,2.9098712446351933,4.246234027570601
ex3_229.qasm,403,226,276,487,0.14893085200000655,237,395,2.494139738000001,264,472,18.034457413000013,0.7743362831858407,0.5043665546275776,3.7529761904761907,5.878354418210915
mini-alu_167.qasm,288,162,204,368,0.11128195399999186,168,298,3.455824933999992,177,350,9.552129278000024,0.7777777777777778,0.5211573066470477,3.094650205761317,3.243748685715372
alu-v2_30.qasm,504,285,348,657,0.18788162899997474,297,533,3.1907308509999837,339,639,25.341961846000004,0.7824561403508772,0.497404776046859,3.737819025522042,5.800906711646467
rd53_131.qasm,469,261,333,596,1.843306479000006,264,463,4.292489399000004,306,568,28.62679316500001,0.7662835249042146,0.5351380923193345,4.457142857142857,7.46272866379731
cm82a_208.qasm,650,337,447,788,4.756402549999962,429,627,8.032607325000015,432,762,37.76024303700001,0.8397626112759644,0.5643913793694358,4.3076923076923075,8.750123776446117
sym6_316.qasm,270,135,228,338,0.13750906100000293,219,267,8.07574473699998,210,320,22.280878425000026,0.9111111111111111,0.5769224438109852,2.7489177489177488,3.7087921917213547
decod24-enable_126.qasm,338,190,261,471,0.14618318399999453,207,374,1.9927199480000013,240,437,20.75215653500004,0.7842105263157895,0.47101587624906055,3.5674740484429064,7.742600945297093
mod5adder_127.qasm,555,302,366,689,0.2211662280000155,324,561,4.663346466000007,345,663,29.763335520999988,0.7913907284768212,0.5142267901443082,3.6673866090712743,5.647449688718133
mod8-10_177.qasm,440,251,351,621,0.2158004660000188,255,435,3.1807444099999884,318,561,31.044915282999966,0.7808764940239044,0.49276925889831863,3.566137566137566,5.347413596454996
sf_276.qasm,778,435,546,974,0.3705617059999895,441,745,5.6903963070000145,525,990,58.30030953300002,0.7724137931034483,0.5039361515779768,3.836671802773498,5.9500601712711525
4gt12-v1_89.qasm,228,130,165,310,0.09051398199994765,129,234,1.618493863000026,147,274,11.066728402999956,0.7692307692307693,0.5044183480232308,3.526315789473684,4.898640209310846
mod10_171.qasm,244,139,171,307,0.11113389499996629,132,231,1.2996371250000038,159,289,10.98327553899992,0.7769784172661871,0.5095232002770007,3.0436893203883497,3.363573282071691
4gt12-v0_88.qasm,194,108,135,258,0.08048382300000867,129,229,0.5055532000000085,123,239,4.00568199099996,0.7962962962962963,0.5047782655718152,3.2546583850931676,4.721142486091951
4gt4-v0_79.qasm,231,132,177,285,0.11400731699995958,126,210,2.281778615999997,162,275,4.104844684999989,0.7954545454545454,0.5036027228672805,3.520408163265306,5.346617454124587
4gt4-v0_80.qasm,179,101,132,241,0.11455836200002523,120,197,0.6520958250000604,111,209,4.406392729999993,0.7821782178217822,0.49958320045714316,3.4093959731543624,4.973774744157739
mod8-10_178.qasm,342,193,255,400,0.15006066399996598,195,341,2.4585229159999926,234,400,13.559768766000047,0.7875647668393783,0.510461314476697,3.7054794520547945,5.669152056886315
hwb4_49.qasm,233,134,165,308,0.10364397499995448,153,266,1.9866988850000098,171,312,1.8131045760000006,0.7985074626865671,0.4853041936683316,2.916256157635468,3.3744741277444645
4gt4-v1_74.qasm,273,154,201,336,0.10562517700009266,165,286,1.4042793549999715,186,323,8.148356469000078,0.7727272727272727,0.4904639636566674,3.5657894736842106,5.603888514415187
4gt12-v0_87.qasm,247,131,162,306,0.09579907399995591,153,252,2.067640691000065,168,308,9.6213490639999,0.8549618320610687,0.567869157660986,3.5,6.133630945160344
4gt12-v0_86.qasm,251,135,162,314,0.11953815999993367,159,269,1.9679764999999634,162,317,1.4445313600000418,0.8592592592592593,0.5599333685619039,3.447004608294931,6.046532522343494
sf_274.qasm,781,436,579,986,0.29861651499993513,549,898,5.391372973999978,576,985,4.992859211999985,0.7706422018348624,0.5181659173006583,3.825617283950617,5.913378683837751
majority_239.qasm,612,344,435,786,0.2679302040000948,360,593,5.5073246719999815,420,771,39.74590071700004,0.7761627906976745,0.5331033945803967,4.30873786407767,6.972889342708206
ham7_104.qasm,320,185,234,414,0.16401819700001852,189,323,2.994988717999945,231,401,13.761738422999997,0.8054054054054054,0.49316733958733155,3.580071174377224,7.391070980855517
rd53_135.qasm,296,159,222,367,0.1332762270000103,189,318,3.4625298969999676,210,357,4.762370081999961,0.8427672955974843,0.5555278660873858,3.8588235294117648,6.44461095649868
4gt4-v0_78.qasm,235,137,171,300,0.08812116399997194,141,223,2.123841103000018,162,285,2.387131758999999,0.7956204379562044,0.5001997576353815,3.7438423645320196,5.944190276573973
4gt4-v0_73.qasm,395,227,276,526,0.14793021200000567,225,358,2.1796898579999606,255,490,20.839358386999947,0.788546255506608,0.504823518970107,3.6637426900584797,5.995692998334957
one-two-three-v0_97.qasm,290,163,216,393,0.13094131399998332,183,362,2.089430205999861,195,362,8.545120233000034,0.7852760736196319,0.5165046669901641,3.1538461538461537,3.5927016923223074
rd84_142.qasm,343,110,282,294,0.1695739260001119,228,213,23.91729073700003,267,268,24.375581111999963,1.4,0.9165151389911678,2.297202797202797,2.6309998114451365
sym9_146.qasm,328,127,258,367,0.17615288899992265,216,248,17.51225443999988,228,333,18.858120311999983,1.1653543307086613,0.6846319722609184,2.252707581227437,2.1023542496509853
qft_16.qasm,512,105,237,279,0.18366717000003518,408,403,32.20933160000004,270,343,36.628656671000044,2.2857142857142856,1.2999215046945516,1.816860465116279,0.7987312055188222
cnt3-5_180.qasm,485,209,357,497,0.21737336700016385,312,391,17.545165245000135,357,493,32.94695779500012,1.0287081339712918,0.7182772824801992,2.7054455445544554,2.7637809604832384
ex2_227.qasm,631,355,450,837,0.23934630300004756,390,614,3.578714823999917,429,778,41.52851982199991,0.7746478873239436,0.514499157490969,4.3007518796992485,7.259668132192004
rd53_133.qasm,580,327,426,726,0.31559561900007793,342,522,7.010451663999902,387,726,35.446483425,0.7828746177370031,0.5462804386142903,4.3428571428571425,7.037276838815028
4gt4-v0_72.qasm,258,137,177,315,0.10437480399991728,150,255,3.4404137700000774,153,291,8.514328737000142,0.8248175182481752,0.5523382310187624,3.364485981308411,5.055565127112534
