,size,depth,SABRE CNOTs,SABRE Depth,SABRE Time,MPATH_IPS CNOTs,MPATH_IPS Depth,MPATH_IPS Time,MPATH_BSP CNOTs,MPATH_BSP Depth,MPATH_BSP Time,"Layer Density, mean","Layer Density, std.","Child Distance, mean","Child Distance, std."
4_49_16.qasm,217,125,165,307,0.077082184,144,265,1.254190349,165,305,3.6871835369999992,0.792,0.4947079946796899,2.984126984126984,3.5027973560011096
alu-v2_31.qasm,451,255,303,589,0.2029432230000019,267,482,2.9111542810000017,291,590,24.588712591,0.7764705882352941,0.4861163563181619,3.0706806282722514,3.131954721007552
mod10_176.qasm,178,101,138,255,0.0697487240000001,129,217,0.1652463449999999,138,255,0.051227670999999475,0.7722772277227723,0.5050475542517564,3.061224489795918,3.20973114307551
C17_204.qasm,467,253,369,634,0.29210057000000234,321,489,4.766183561000005,342,606,24.089246782000004,0.8102766798418972,0.5584184351762643,4.060913705583756,6.48045442237441
0410184_169.qasm,211,104,183,261,0.08387075499999241,183,235,0.16931877899999392,183,251,3.9683957299999975,1.0,0.6793662204867574,6.453551912568306,13.828250799388995
rd53_311.qasm,275,124,252,312,0.15174645400000486,225,274,5.259656949999993,243,302,12.887964816999997,1.0,0.6350006350009525,2.9098712446351933,4.246234027570601
ex3_229.qasm,403,226,315,549,0.14766468399999155,270,497,1.1429288189999909,273,516,21.414633049000003,0.7743362831858407,0.5043665546275776,3.7529761904761907,5.878354418210914
mini-alu_167.qasm,288,162,237,409,0.10867018600001188,243,371,0.36055922299999565,225,406,9.213752733999996,0.7777777777777778,0.5211573066470477,3.094650205761317,3.243748685715372
alu-v2_30.qasm,504,285,447,771,0.19649032699999225,432,637,0.7895405390000008,453,781,23.469116542999984,0.7824561403508772,0.497404776046859,3.737819025522042,5.800906711646467
rd53_131.qasm,469,261,378,662,0.20173765699999535,378,546,0.45632056800002374,357,632,15.85075337500001,0.7662835249042146,0.5351380923193345,4.457142857142857,7.46272866379731
cm82a_208.qasm,650,337,498,845,0.30557563499999674,492,624,11.020118781000008,471,789,60.007030171999986,0.8397626112759644,0.5643913793694358,4.3076923076923075,8.750123776446117
sym6_316.qasm,270,135,240,354,0.1266175609999891,264,307,0.3719757500000469,222,333,3.320335267999951,0.9111111111111111,0.5769224438109852,2.7489177489177488,3.7087921917213547
decod24-enable_126.qasm,338,190,249,470,0.11589862599998924,204,374,1.110624658000006,237,460,14.430792020000013,0.7842105263157895,0.47101587624906055,3.5674740484429064,7.742600945297093
mod5adder_127.qasm,555,302,465,776,0.21483229699998674,426,683,3.6720386980000512,453,761,27.08719701299998,0.7913907284768212,0.5142267901443082,3.6673866090712743,5.647449688718133
mod8-10_177.qasm,440,251,345,583,0.15845080399998324,288,507,2.563372562999973,330,567,10.269287992000045,0.7808764940239044,0.49276925889831863,3.566137566137566,5.347413596454995
sf_276.qasm,778,435,678,1194,4.756921487,684,955,0.5258599039999581,657,1175,29.79818711400003,0.7724137931034483,0.5039361515779768,3.836671802773498,5.9500601712711525
4gt12-v1_89.qasm,228,130,192,326,0.11262663799999473,186,250,1.3604655179999554,186,316,7.142440652000005,0.7692307692307693,0.5044183480232308,3.526315789473684,4.898640209310846
mod10_171.qasm,244,139,195,323,0.1434417250000024,168,282,1.737636517999988,168,315,4.3332078409999895,0.7769784172661871,0.5095232002770007,3.0436893203883497,3.363573282071691
4gt12-v0_88.qasm,194,108,171,289,0.08913166100001035,156,216,0.11228290100001459,165,272,1.308422080000014,0.7962962962962963,0.5047782655718152,3.2546583850931676,4.721142486091951
4gt4-v0_79.qasm,231,132,177,299,0.09991065600002003,141,261,1.4082534720000126,168,298,1.739218841999957,0.7954545454545454,0.5036027228672805,3.520408163265306,5.346617454124587
4gt4-v0_80.qasm,179,101,141,229,0.0662249580000207,117,204,0.6670037420000199,135,225,2.728001350999989,0.7821782178217822,0.49958320045714316,3.4093959731543624,4.973774744157739
mod8-10_178.qasm,342,193,258,418,0.14377878100003727,231,390,1.3793934610000633,249,406,6.5548704720000615,0.7875647668393783,0.510461314476697,3.7054794520547945,5.669152056886315
hwb4_49.qasm,233,134,171,339,0.07788155599996571,177,301,0.2517129780000005,165,330,0.0742237939999768,0.7985074626865671,0.4853041936683316,2.916256157635468,3.3744741277444645
4gt4-v1_74.qasm,273,154,198,337,0.09284056400008467,174,319,0.8200969560000431,186,335,2.754236155000058,0.7727272727272727,0.4904639636566674,3.5657894736842106,5.603888514415187
4gt12-v0_87.qasm,247,131,189,347,0.08419010099999014,177,298,0.17150584199998775,177,319,6.893432257999962,0.8549618320610687,0.567869157660986,3.5,6.133630945160344
4gt12-v0_86.qasm,251,135,186,345,0.3088524170000255,186,311,0.22709811300001093,183,321,3.2814595599999166,0.8592592592592593,0.5599333685619039,3.447004608294931,6.046532522343494
sf_274.qasm,781,436,582,1063,0.3014207069999202,585,957,4.803487673000063,579,1059,6.798748333999924,0.7706422018348624,0.5181659173006583,3.825617283950617,5.913378683837751
majority_239.qasm,612,344,435,822,0.2457552329999544,429,700,2.896166784000002,402,801,26.31069000599996,0.7761627906976745,0.5331033945803967,4.30873786407767,6.972889342708206
ham7_104.qasm,320,185,252,445,0.12220308600001317,276,424,0.34367985799997314,249,436,2.5060490960000834,0.8054054054054054,0.49316733958733155,3.580071174377224,7.391070980855517
rd53_135.qasm,296,159,249,398,0.1491090429999531,240,367,2.0200067739999668,243,391,2.8356787699999586,0.8427672955974843,0.5555278660873858,3.8588235294117648,6.444610956498679
4gt4-v0_78.qasm,235,137,174,308,0.08492286099999546,147,264,1.173388798000019,174,301,1.6635386799999878,0.7956204379562044,0.5001997576353815,3.7438423645320196,5.944190276573973
4gt4-v0_73.qasm,395,227,279,547,0.13084848900007273,261,428,1.0237290470000744,264,515,11.925199623000026,0.788546255506608,0.504823518970107,3.6637426900584797,5.995692998334957
